Symbol,Fecha,Precio_Apertura,Precio_Cierre,Precio_Maximo,Precio_Minimo
UBSFF,2024-11-07,14.47,14.5,14.5,14.47
UBSFF,2024-11-11,14.6,14.1975,14.6,14.1975
UBSFF,2024-11-12,14.25,14.25,14.25,14.25
UBSFF,2024-11-13,14.1,14.1,14.1,14.1
UBSFF,2024-11-14,14.1,14.1,14.1,14.1
UBSFF,2024-11-15,14.1,14.1,14.1,14.1
UBSFF,2024-11-18,14.1,14.1,14.1,14.1
UBSFF,2024-11-21,13.0,13.83,13.83,12.95
UBSFF,2024-11-22,13.0,13.5,13.5,13.0
UBSFF,2024-11-25,13.5,13.795,13.795,13.5
UBSFF,2024-11-27,12.89,13.48,13.48,12.89
UBSFF,2024-11-29,13.75,13.183,13.75,13.183
UBSFF,2024-12-02,12.22,12.01,12.22,12.01
UBSFF,2024-12-05,12.39,12.45,12.45,12.39
UBSFF,2024-12-09,14.65,14.435,14.65,14.1
UBSFF,2024-12-10,13.96,13.99,13.99,13.96
UBSFF,2024-12-11,14.06,14.06,14.06,14.06
UBSFF,2024-12-12,13.0,13.0,13.0,13.0
UBSFF,2024-12-13,13.0,13.0,13.0,13.0
UBSFF,2024-12-16,13.0,13.17,13.22,13.0
UBSFF,2024-12-17,13.0,13.0,13.0,13.0
UBSFF,2024-12-18,13.0,13.0,13.0,13.0
UBSFF,2024-12-19,13.0,13.0,13.0,13.0
UBSFF,2024-12-20,13.0,13.0,13.0,13.0
UBSFF,2024-12-23,12.82,13.28,13.28,12.82
UBSFF,2024-12-24,13.0,13.5,13.5,13.0
UBSFF,2024-12-26,13.48,13.75,13.75,13.3
UBSFF,2024-12-30,13.71,13.445,13.75,13.4
UBSFF,2024-12-31,14.32,13.37,14.32,13.37
